smiles,electronic_energy,HOMO_LUMO_gap,dipole_moment,crystal_density,heat_of_formation
CC1=NC(N2N=NC(C=O)=C2O)=C(N1)[N+]([O-])=O,-899.6138097,3.681457364,12.0635,1.771,-2.437
[O-][N+](=O)C1=C2CN(C=N)C2=NO1,-637.3599772,3.950580088,4.5393,1.596,84.234
CNC1=COC(=O)C(=N1)[N+]([O-])=O,-658.5508282,3.176410068,7.6359,1.617,-48.071
CN=C1N(C)NN=C1[N+]([O-])=O,-580.6548887,3.8164269,7.2234,1.532,73.844
CC1=C(OC(N)=C(O)OC(=O)OC1=N)C(O)=O,-945.689948,3.558460932,4.4312,1.707,-234.105
CNC1=NC(N)=C(N1)[N+]([O-])=O,-580.7722198,4.071127476,6.4142,1.624,-7.849
CC1=C2C(N)=C(C(=O)N=C2N=C(O)O1)[N+]([O-])=O,-903.4789511,3.870033752,11.071,1.841,-87.221
CC1=NC(OC(C(O)C#N)C(=O)C(O)=O)=NN1,-904.7585383,3.997928272,7.0413,1.594,-145.995
NC1=COC2=NC=C(N12)[N+]([O-])=O,-637.4789937,3.727444968,4.4188,1.709,10.734
CC(=O)C1=C(NNC1=O)[N+]([O-])=O,-658.5533765,3.765813324,4.367,1.671,-48.688
CC1=C(C(=N)N(O)N1)[N+]([O-])=O,-600.5245802,4.049902428,5.1026,1.605,26.248
NCC1=NC(=C(O)O1)[N+]([O-])=O,-620.4585218,4.994144948,6.0825,1.698,-67.36
CN(C=O)N1C=CC(=N1)[N+]([O-])=O,-638.6699384,5.270342688,5.0907,1.522,9.988
NC(=N)OC1=CC(=CN1)[N+]([O-])=O,-638.7185455,4.42324558,9.2895,1.706,-27.55
CC(=O)N1N=C(O)C2=C(CO)NC(=O)N2C1=O,-904.7997272,4.501342872,6.8841,1.759,-169.525
CC(=N)OC(=O)NC1=C2N=NON=C2C(=O)N1,-899.6447359,3.608530276,7.1395,1.671,-20.108
NC(=N)N1C(O)=CC=C1[N+]([O-])=O,-638.7254876,3.807174956,3.8257,1.684,-25.488
CN(C)C1=NC(=NN1)[N+]([O-])=O,-580.7278399,4.367733916,8.7651,1.544,25.705
